|Nom |Adresse|ville|Telephone|Activité
0|EURL COMM TOV DIDIER CHAMAK||13004 MARSEILLE 04|06 27 95 36 45|Activité : entreprise
1|DOVETTA ET FILS FRANCIS DOVETTA||13004 MARSEILLE|06 01 20 22 52|Activité : entreprise
2|Hair j and j|93 boulevard BOISSON|13004 Marseille|09 81 90 72 06|Activité : entreprise
3|Bret|71 Boulevard Camille Flammarion|13004 Marseille|06 50 80 73 66|Activité : entreprise
4|Jean-Pierre Geissler|6 Boulevard Georges Clemenceau|13004 Marseille|04 91 49 55 20|Activité : chirurgien-dentiste
5|Monsieur ertan ryustemov|25 Avenue des Chutes Lavie|13004 Marseille|09 86 72 34 30|Activité : entreprise
6|Thierry volpe|15 Rue des Linots|13004 Marseille|09 83 77 12 21|Activité : entreprise
7|Santa guilia|1 rue ELEMIR BOURGES|13004 Marseille|04 91 43 15 46|Activité : entreprise
8|Madame aline fery|8 avenue DU MARECHAL FOCH|13004 Marseille|04 91 85 24 23|Activité : entreprise
9|Lusi|10 Avenue du Maréchal Foch|13004 Marseille|04 91 49 64 77|Activité : entreprise
10|Liban express|12 BRD DE ROUX|13004 Marseille|04 91 40 50 00|Activité : entreprise
11|Hospitalite diocesaine|88 Boulevard Boisson|13004 Marseille|04 91 42 64 28|Activité : entreprise
12|Et apres services|22 Rue des Trois Frères Carasso|13004 Marseille|09 86 40 34 61|Activité : entreprise
13|Entreprise buono|110 ALLEE DES DEUX PINS CITE CHUTES LAVIE|13004 Marseille|06 67 28 75 12|Activité : entreprise
14|Entreprise adjarian arthur froid|23 Avenue de Saint-Just|13004 Marseille|04 91 08 74 09|Activité : entreprise
15|Atekier egr|23 Rue Edmond Dantès|13004 Marseille|09 83 29 22 45|Activité : entreprise
16|Altounian christophe|197 Boulevard de la Libération - Général de Monsabert|13004 Marseille|04 91 68 50 57|Activité : entreprise
17|Afriki djigui theatri|27 Rue d'Anvers|13004 Marseille|04 91 08 49 39|Activité : entreprise
18|A p s f|136 BRD DE ROUX|13004 Marseille|04 91 49 99 45|Activité : entreprise
19|VENISE PIZZA BILEL MAJDOUB|34 RUE BALTHAZAR DE MONTRON|13004 MARSEILLE|04 65 58 06 28|Activité : entreprise
20|TIMOUMI SALEM TIMOUMI|13 BOULEVARD DE ROUX|13004 MARSEILLE|04 86 77 77 83|Activité : entreprise
