|Nom |Adresse|ville|Telephone|Activité
0|ORDRE NATIONAL DES INFIRM SEBASTIEN CHARTIER||13003 MARSEILLE|06 17 73 59 13|Activité : entreprise
1|MR ROMDHANE BEN MAH ROMDHANE BARHOUMI||13003 MARSEILLE|06 17 94 45 82|Activité : entreprise
2|ETS LEON AGET XVLA XVLA||13003 Marseille|06 28 71 10 12|Activité : entreprise
3|ASSISTANCE FUNERAIRES MUS RAOUL ANDRE||13003 Marseille|06 22 91 25 30|Activité : entreprise
4|Miroiterie perez|64 avenue CAMILLE PELLETAN|13003 Marseille|06 50 74 29 93|Activité : entreprise
5|Lijie Mu|231 Boulevard National|13003 Marseille|09 66 87 68 02|Activité : entreprise
6|Jean Paul Weber|46 rue RUFFIA|13003 Marseille|04 91 50 81 31|Activité : entreprise
7|Adel Rebah|50 avenue ROGER SALENGRO|13003 Marseille|04 91 05 97 52|Activité : entreprise
8|Franck Saffar|219 Boulevard National|13003 Marseille|04 91 64 05 55|Activité : oto-rhino-laryngologue
9|Enterway|25 Boulevard Bouès|13003 Marseille|04 91 81 28 56|Activité : entreprise
10|Vidal 332591890|16 Place de Strasbourg Paul Cermolacce|13003 Marseille|04 91 08 12 59|Activité : entreprise
11|Sarl pompes funebres du midi|43 Rue Fortuné Jourdan|13003 Marseille|04 91 50 82 07|Activité : entreprise
12|Sarl garage midi automobile|27 Boulevard de la Révolution|13003 Marseille|09 81 60 95 14|Activité : entreprise
13|Nelli daniel|44 Rue Peyssonnel|13003 Marseille|04 91 50 05 36|Activité : entreprise
14|Gsd|46 Boulevard de Briançon|13003 Marseille|04 91 50 00 06|Activité : entreprise
15|100 glisse|9 Rue Jobin|13003 Marseille|09 81 07 69 78|Activité : entreprise
16|SCI ENOCAR JACQUES CARRENO|269 Boulevard National|13003 Marseille|04 13 24 31 11|Activité : entreprise
17|SUPERETTE DU 3E ZACHARIAN MESSAOUDI|36 BOULEVARD BOUES|13003 MARSEILLE|04 86 77 52 96|Activité : entreprise
18|SCM LE CENTRE CLAUDE IVARS SCALINGI|45 Rue Clovis Hugues|13003 Marseille|04 65 58 31 54|Activité : entreprise
19|SAS RD 13 ROGER KAPEO MUNINGA|1 RUE SAINT CLAUDE|13003 MARSEILLE|04 88 08 78 84|Activité : entreprise
20|SAS LA MEDINA ABDELAAZIZ BENARI|315 Boulevard National|13003 Marseille|04 65 57 58 45|Activité : entreprise
21|SARL VERSO NATHALIE VLIEGHE|266 Boulevard National|13003 Marseille|04 91 95 83 39|Activité : entreprise
22|SARL NRJTEC LARBI REDJIMI|124 Avenue Roger Salengro|13003 Marseille|04 65 85 16 39|Activité : entreprise
23|Renault Garage Lautard Vendeur agréé|200 boulevard National|13003 MARSEILLE 03|04 91 08 01 08|Activité : entreprise
24|RIZA OGLU MOBILYA KASIM KARA|RUE BERNARD|13003 MARSEILLE 03|04 13 24 42 75|Activité : entreprise
25|PROMAN SALENGRO|11 rue RUFFI|13003 MARSEILLE 03|04 91 68 85 12|Activité : entreprise
26|NICOLAIDES SABINE THIERRY NICOLAIDES|20 BD FERDINAND DE LESSEPS|13003 MARSEILLE|04 88 86 25 38|Activité : entreprise
27|NATIONAL 383 SAMIR BENHACENE|383 BOULEVARD NATIONAL|13003 MARSEILLE|04 65 95 50 86|Activité : entreprise
28|LYDIA AUTO FOHIL MALTI|130 RUE DE CRIMEE|13003 MARSEILLE|04 65 57 46 51|Activité : entreprise
29|LES JUMELLES MUHAMMAD LODHI|107 Avenue Camille Pelletan|13003 Marseille|04 88 64 34 58|Activité : entreprise
30|LES 4 SAISON FOUAD SATTAS|143 RUE FELIX PYAT|13003 MARSEILLE|04 88 86 49 51|Activité : entreprise
31|LE FOURNIL DE SALENGRO LE FOURNIL DE SALENGRO LE FOURNIL DE SALENGRO|50 AV ROGER SALENGRO|13003 MARSEILLE 03|04 91 95 85 72|Activité : entreprise
32|INFOCONFIG YOUCEF SAIDI|134 RUE FELIX PYAT|13003 MARSEILLE|04 65 96 09 27|Activité : entreprise
33|Docteur Terdjman|13 Rue Henri Auzias|13003 Marseille|04 91 64 97 83|Activité : entreprise
34|DG ARCHITECTURE CONCEPT DINESH GANGDJEE|86 RUE BELLE DE MAI|13003 MARSEILLE 03|04 13 25 71 02|Activité : entreprise
35|COGOFLY FRANCK LAGATHU|56 Boulevard de Strasbourg|13003 Marseille|04 65 57 57 22|Activité : entreprise
36|BY ME MOHAMED JALEL|BD NATIONAL|13003 MARSEILLE 03|04 88 86 59 26|Activité : entreprise
37|BBQ GRILL MOHAMED OUMSERG|239 Boulevard National|13003 Marseille|04 65 85 06 22|Activité : entreprise
38|BAR RESTAURANT BISTROT DE LA DOUANE|63 Boulevard de Strasbourg|13003 Marseille|04 88 44 71 60|Activité : entreprise
39|BACR PEINTURE DU SUD EST ABDALLAH BEN FEKIH ALI|97 RUE LOUBON|13003 MARSEILLE 03|04 88 04 30 59|Activité : entreprise
40|AZUR FACADE AZUR FACADE AZUR FACADE|25 BOULEVARD BOUES|13003 MARSEILLE|04 65 85 76 61|Activité : entreprise
41|AWAI DECORE CAHIT SONMEZ|13 RUE CLOVIS HUGUES|13003 MARSEILLE|04 86 97 21 48|Activité : entreprise
42|ASSOCIATION ET VLAM AUDREY MAHIDDINE|10 Rue Ricard|13003 Marseille|04 84 18 46 81|Activité : entreprise
43|750183634 ZAMOUCHI SAMI|29 RUE DU DOCTEUR LEON PERRIN|13003 MARSEILLE|04 86 95 90 92|Activité : entreprise
44|Société de Dépannage Ménager et Electronique|27 Rue de la Belle de Mai|13003 Marseille|04 91 50 24 67|Activité : dépanneur urgents à domicile
45|Serrurerie Metallerie Spina|12 Traverse Magnan|13003 Marseille|09 67 28 85 21|Activité : entreprise de menuiserie métallique
46|Pisani France|186 Boulevard de Paris|13003 Marseille|04 91 28 12 12|Activité : import-export
47|Léon Aget|13 Boulevard de Briançon|13003 Marseille|04 91 11 45 00|Activité : transporteur d'objet, matériel
48|Eurolack|27 Boulevard de la Révolution|13003 Marseille|04 91 06 08 97|Activité : peinture, revêtement, vernis
49|Renova|42 Rue François Barbini|13003 Marseille|06 63 29 72 57|Activité : entreprise
50|Patrick Forma|138 boulevard National|13003 MARSEILLE|04 91 50 65 34|Activité : médecin généraliste
51|Didier Salzmann|2 Rue du Racati|13003 Marseille|09 67 14 00 36|Activité : entreprise
52|Alberto Vergara Gonzalez|164 Boulevard National|13003 Marseille|04 91 62 25 60|Activité : médecin généraliste
53|Brahim Akli|3 Boulevard Boyer|13003 Marseille|04 91 62 13 30|Activité : grossiste pour boucher
54|Ali Ferrat|156 Rue Félix Pyat|13003 Marseille|04 91 02 09 09|Activité : entreprise
55|Laurent Vanhelmon|15 Place Bernard Cadenat|13003 Marseille|04 91 50 61 30|Activité : entreprise
56|Abdelaaziz Rifkoun|140 rue Félix Pyat|13003 MARSEILLE|04 96 15 60 83|Activité : entreprise
57|JENNYF HAIR MARJORIE LANDRE|5 Boulevard Allemand|13003 Marseille|04 91 95 62 99|Activité : entreprise
58|TECHNISOFT|16 Rue Palestro|13003 Marseille|04 91 62 40 00|Activité : entreprise
59|SOCIETE DE CONFECTION BALSAN|35 boul DE BRIANCON|13003 MARSEILLE|04 91 56 51 26|Activité : fabricant d'uniformes
60|ROYAL JEU SARL CHRISTIAN GRIMA|3 Rue Neuve Sainte-Anne|13003 Marseille|04 91 63 14 05|Activité : entreprise
61|REGIE DES TRANSPORTS DE MARSEILLE|143 Rue Loubon|13003 Marseille|04 96 21 74 58|Activité : entreprise
62|Presse Belle de Mai|8 Rue d'Orange|13003 Marseille|04 91 64 22 06|Activité : entreprise
63|Pompes Funebres du Midi|34 Rue Roger Schiaffini|13003 Marseille|04 91 84 79 43|Activité : entreprise
64|PROF ALU|263T rue BD NATIONAL|13003 MARSEILLE 3EME|04 91 08 35 63|Activité : entreprise
65|PHARMACIE ROUSSELIER|78 avenue CAMILLE PELLETAN|13003 MARSEILLE 03|04 91 50 16 02|Activité : pharmacien
66|PHARMACIE LANI / HUART|10 Rue de Forbin|13003 Marseille|04 91 62 18 26|Activité : entreprise
67|O GOUT DU JOUR MICHEL NARJOZ|7 Rue du 141e RIA|13003 Marseille|04 91 62 03 19|Activité : entreprise
68|MC Creation|103 avenue camille pelletan|13003 Marseille|04 91 68 99 02|Activité : entreprise
69|MAISON LA JEUNE FILLE CTRE JANE PANNIE|339 boulevard NATIONAL|13003 MARSEILLE 03|04 91 84 66 59|Activité : entreprise
70|LES JARDINS DE FORBIN STEPHANE SEGGIO|4 Rue de Forbin|13003 Marseille|04 91 64 40 58|Activité : entreprise
71|LA BELLE DES VIANDES BOUCHERIE ALI MEKHREF|116 rue BELLE DE MAI|13003 MARSEILLE 3|04 91 50 10 18|Activité : entreprise
72|KARTHALA MARKET|140 Rue Félix Pyat|13003 Marseille|04 91 47 61 14|Activité : entreprise
73|ISSIFI SOUMANA SOUMANA ISSIFI|67 Rue Honnorat|13003 Marseille|04 91 08 84 38|Activité : entreprise
74|GARAGE SAINT MAURONT MARCO PACCHIONI|96 Rue Félix Pyat|13003 Marseille|04 91 62 69 58|Activité : entreprise
75|FOSSATI NICOLE NICOLE FOSSATI|121 Avenue Camille Pelletan|13003 Marseille|04 91 62 76 60|Activité : entreprise
76|FERRERO ROBERT ROBERT FERRERO|118 avenue CAMILLE PELLETAN|13003 MARSEILLE 3|04 91 50 83 61|Activité : entreprise
77|DONZEL SALON JACKY JACK DONZEL|62 Rue Hoche|13003 Marseille|04 91 50 73 84|Activité : entreprise
78|DIAMANTINS MOHAMMED OUBOURHOU|153 Boulevard National|13003 Marseille|04 91 62 42 18|Activité : entreprise
