|Nom |Adresse|ville|Telephone|Activité
0|SARL WO PASCAL RIVET||13001 Marseille|06 12 69 01 53|Activité : entreprise
1|SSN CARINE CASTAGNARO||13001 MARSEILLE 01|06 29 62 65 96|Activité : entreprise
2|PORCHER PIERRE PORCHER||13001 Marseille|06 22 54 26 87|Activité : entreprise
3|LE REFUGE FAOUZI BENDAAS||13001 MARSEILLE|06 46 15 58 76|Activité : entreprise
4|ETABLISSEMENT PRINICPAL JEAN SEBASTIEN NIZOU||13001 Marseille|06 16 10 66 15|Activité : entreprise
5|DISTRIBUTION FRANCO MAROC MARIE JEROMINE LEONI||13001 Marseille|06 24 10 10 50|Activité : entreprise
6|DEVELOPPEMENT LOCAL EN ME BOUZID SENNANE||13001 MARSEILLE|06 24 90 17 05|Activité : entreprise
7|BROOKLIN 26 STEVEN AZOULAY||13001 MARSEILLE 01|06 34 11 39 53|Activité : entreprise
8|Star btp|11 place GENERAL DE GAULLE|13001 Marseille|09 86 73 51 60|Activité : entreprise
9|Sarl cap 87|70 rue GRIGNAN|13001 Marseille|09 82 36 54 46|Activité : entreprise
10|Madame melanie nguyen|52 rue ROME|13001 Marseille|09 81 77 54 30|Activité : avocat
11|Michel Belnet|6 Square Stalingrad|13001 Marseille|04 91 62 09 21|Activité : pneumologue
12|Elisabeth Duclos-Casalonga|14 Rue Beauvau|13001 Marseille|04 91 33 14 45|Activité : dermatologue vénéréologue
13|Fabienne Beugnot|29 rue Haxo|13001 Marseille|04 91 33 55 08|Activité : avocat
14|Daniel Manna|91 Rue d'Aubagne|13001 Marseille|04 91 55 50 80|Activité : entreprise
15|René-Pierre Clauzade|10 Rue Fortia|13001 Marseille|04 96 11 07 86|Activité : avocat
16|Isabelle Deturmeny-Mosnier|69 Rue Sainte|13001 Marseille|04 91 33 79 96|Activité : avocat
17|Catherine Martini|15 Rue Beauvau|13001 Marseille|04 91 54 70 15|Activité : avocat
18|Florence Chevalier-Laval|19 A Rue Venture|13001 Marseille|04 91 81 54 11|Activité : avocat
19|Uthurriague|25 Rue Pavillon|13001 Marseille|09 86 45 14 99|Activité : entreprise
20|Sci cyliel|76 LA CANEBIERE|13001 Marseille|09 83 72 61 61|Activité : entreprise
21|Sas kara|59 Rue Sainte|13001 Marseille|04 91 33 35 45|Activité : entreprise
22|Sarl au bon pain|8 Rue des Fabres|13001 Marseille|06 98 36 32 56|Activité : entreprise
23|Rent a car rent a car Rent A Car Rent a car|10 place DES MARSEILLAISES|13001 Marseille gare|04 91 50 12 00|Activité : entreprise
24|Pause cafe|20 Rue Colbert|13001 Marseille|09 86 21 86 32|Activité : entreprise
25|Leidelinger|20 Rue Saint-Savournin|13001 Marseille|09 53 96 53 93|Activité : entreprise
26|Innovation|11 rue NATIONALE|13001 Marseille er|04 91 56 63 58|Activité : entreprise
27|Guilhem escudier|50 Rue Vacon|13001 Marseille|09 83 82 58 01|Activité : entreprise
28|Equipement diesel et industrie|43 boulevard NATIONAL|13001 Marseille|09 87 00 35 07|Activité : entreprise
29|Cuisine du sud associes|27 Cours Honoré d'Estienne d'Orves|13001 Marseille|04 91 91 61 57|Activité : entreprise
30|Chalaye|32 Boulevard Camille Flammarion|13001 Marseille|04 91 62 76 72|Activité : entreprise
31|Carrement tango|65 ALLEE LEON GAMBETTA|13001 Marseille|09 82 53 53 75|Activité : entreprise
32|Boy club|12 Rue Paradis|13001 Marseille|09 86 34 18 69|Activité : entreprise
33|Auto ecole longchamp|50 Boulevard Camille Flammarion|13001 Marseille|09 83 62 31 45|Activité : entreprise
34|Asso dunes|15 Rue Jean Roque|13001 Marseille|09 82 20 07 98|Activité : entreprise
35|Amsellem thierry|16 Rue Breteuil|13001 Marseille|06 61 52 39 40|Activité : avocat
36|Ailli|40 boulevard CHARLES NEDELEC|13001 Marseille er|04 91 91 82 57|Activité : entreprise
37|4 rent gestion|54 Rue Vacon|13001 Marseille|09 81 85 61 21|Activité : entreprise
38|PIRATES ASSOCIES MOISE PARIENTI|24 RUE SAINT FERREOL|13001 MARSEILLE|04 91 55 56 00|Activité : entreprise
